NAME,URL,STATES
Arizona Agribusiness & Equine Center,https://www.aaechighschools.com/,AZ
Academica,http://www.academica.org/,"FL,UT,CA,NV,TX,DC"
"Academy of Mathematics and Science, Inc",http://www.amsschools.org/,AZ
ACADEMY OF SKILLS AND KNOWLEDGE,http://www.cumberlandacademy.com/,TX
"Academy of Tucson, Inc.",http://www.academyoftucson.com/,AZ
ACCELERATED INTERMEDIATE ACADEMY,http://www.aiacharterschools.org/,TX
Accelerated Learning Solutions,http://www.als-education.com/,FL
ACE Public Charter Schools,https://www.acecharter.org/,CA
Acero Schools,http://www.aceroschools.org/,IL
Achievement First,http://www.achievementfirst.org/,"CT,NY,RI"
Advantage Academy,http://www.advantageacademy.org/,TX
Albany Charter School Network,http://www.albanycharterschoolnetwork.org/,NY
"Albert Einstein Academies for Letters, Arts & Sciences",http://ealas.org/,CA
Albert Einstein Academy,http://www.aeaces.org/,CA
Algiers Charter School Association,http://algierscharterschools.org/,LA
All Tribes Public Charter Schools,http://www.alltribescharter.org/,CA
Alliance College-Ready Public Schools,https://www.laalliance.org/,CA
Alta Public Schools,http://www.altapublicschools.org/,CA
Altus Institute Network of Charter Schools,https://altus4u.com/,CA
America CAN!,http://www.americacan.org/,TX
American Heritage Charter Schools,http://www.amhcs.org/,CA
American Indian Public Charter School,http://www.aimschools.org/,CA
"American Montessori Solutions, Inc.",http://www.waterfordmontessori.org/home,MI
American Preparatory Schools,https://www.americanprep.org/,"NV,UT"
American Quality Schools,http://www.aqs.org/,"IL,IN"
AmeriSchools Academy,http://amerischools.org/,AZ
Amethod Public Schools Inc.,https://amps-ca.schoolloop.com/,CA
AppleTree Institute for Education Innovations,http://www.appletreeinstitute.org/,DC
Archimedean Academy,https://www.archimedean.org/,FL
Arise Academy,http://www.ariseschools.org/,LA
"ARISTOI CLASSICAL ACADEMY, INC.",http://www.aristoiclassical.org/,TX
Arizona Community Development Corporation,https://lpatucson.org/,AZ
ARLINGTON CLASSICS ACADEMY,http://www.acaedu.net/,TX
Arrow Academy,http://www.arrowacademy.org/,TX
"Ascend Learning, Inc.",http://www.ascendlearning.org/,NY
Aspira Inc. of Illinois,https://www.aspirail.org/,IL
