NCESSCH,URL,SHARED_URL,NAME1516,ADDRESS1516
130123003896,http://099.clayton.k12.ga.us/,0,Elite Scholars Academy School," 5968 Maddox Rd , Morrow GA 30260.0 "
130123003687,http://198.clayton.k12.ga.us/,0,Unidos Dual Language School," 4475 Hendrix Dr , Forest Park GA 30297.0 "
350006000811,http://21stcenturypa.com/wp/,0,TWENTY-FIRST CENTURY," 6805 ACADEMY PARKWAY W NE , ALBUQUERQUE NM 87109.0 "
220019300944,http://42charterschool.org/,0,McDonogh 42 Charter School," 3019 Higgins Blvd. , New Orleans LA 70126.0 "
411167001641,http://a3school.org/,0,Academy of Arts and Academics," 615 Main St , Springfield OR 97477.0 "
40010601892,http://aaechighschools.com/,0,AAEC - Paradise Valley," 17811 North 32nd Street , Phoenix AZ 85032.0 "
490018601483,http://aaiutah.org/,0,AMERICAN ACADEMY OF INNOVATION," 5410 W South Jordan Parkway , SOUTH JORDAN UT 84009.0 "
80345001896,http://aak8.org/,0,AMERICAN ACADEMY," 6971 MIRA VISTA LANE , CASTLE PINES CO 80108.0 "
62703013064,http://ablecharter.net/,0,Humphreys College Academy of Business Law and Education," 6515 Inglewood Ave. , Stockton CA 95207.0 "
550039002880,http://abs.aasd.k12.wi.us/,0,Appleton Bilingual School," 913 N Oneida St , Appleton WI 54911.0 "
40885001510,http://aca.vail.k12.az.us/,0,Acacia Elementary School," 12955 E. Colossal Cave Road , Vail AZ 85641.0 "
390143005665,http://acabroadway.com/,0,Broadway Academy," 3398 E 55th St , Cleveland OH 44127.0 "
390152705773,http://acachapel.com/,0,Chapelside Cleveland Academy," 3845 E 131st St , Cleveland OH 44120.0 "
370038103322,http://acacharter.com/,0,Anderson Creek Academy," 4940 Ray Road , Spring Lake NC 28390.0 "
120018004318,http://academicvillage.pinescharter.net/,0,CITY/PEMBROKE PINES CHARTER HIGH SCHOOL," 17189 SHERIDAN ST , PEMBROKE PINES FL 33331.0 "
290001702753,http://academielafayette.org/,0,ACADEMIE LAFAYETTE-OAK," 6903 OAK , KANSAS CITY MO 64113.0 "
120039008218,http://academircharterschoolmiddle.com/,0,ACADEMIR CHARTER SCHOOL MIDDLE," 5800 SW 135TH AVE , MIAMI FL 33183.0 "
120039007540,http://academircharterschoolwest.com/,0,ACADEMIR CHARTER SCHOOL WEST," 14880 SW 26TH ST , MIAMI FL 33185.0 "
120039008481,http://academirpreparatoryacademy.com/,0,ACADEMIR PREPARATORY ACADEMY," 5800 SW 135TH AVE , MIAMI FL 33183.0 "
450153001020,http://academy.chester.schooldesk.net/,0,Academy for Teaching and Learning," 109 Hinton Street , Chester SC 29706.0 "
62271012622,http://academy.teachpublicschools.org/,0,TEACH Academy of Technologies," 10045 S. W.ern Ave. , Los Angeles CA 90047.0 "
40061302861,http://academyadventuresmidtown.com/,1,Academy Adventures Mid-town," 825 E. Ft. Lowell Rd. , Tucson AZ 85719.0 "
40081703191,http://academyadventuresmidtown.com/,1,Academy Adventures Midtown," 3025 N. Winstel , Tucson AZ 85716.0 "
40061303135,http://academyadventuresmidtown.com/,1,Academy Adventures Primary School," 3902 North Flowing Wells Road , Tucson AZ 85705.0 "
